id,date,time,pond_id,pond_size,fish_number,temperature,oxygen,salinity,Ph,water_quality,fish_weight,fish_liveness,feed_interval,feed_weight
108,2025-04-18,17:19:40,A01,8,52892,23.4,5.8,0.23,7.1,95.2,251.2,3663.0,27.0,445.19
109,2025-04-19,14:05:27,A01,8,52883,24.3,5.6,0.2,7.0,99.1,253.7,3054.0,20.8,441.72
110,2025-04-20,12:02:03,A01,8,52871,23.0,5.3,0.21,7.1,97.7,256.2,3886.0,21.9,431.59
111,2025-04-21,09:06:52,A01,8,52859,23.1,5.4,0.24,7.1,99.7,258.7,2831.0,21.1,439.04
112,2025-04-22,15:31:28,A01,8,52851,22.7,5.6,0.21,7.1,96.0,261.2,4010.0,30.4,454.04
113,2025-04-23,13:01:12,A01,8,52841,24.0,5.1,0.22,7.1,99.1,263.7,3137.0,21.5,433.98
114,2025-04-24,17:48:34,A01,8,52831,24.5,5.0,0.21,7.1,97.6,266.2,4162.0,28.8,433.65
115,2025-04-25,12:14:18,A01,8,52821,23.4,5.0,0.2,7.0,97.6,268.7,4826.0,18.4,438.08
116,2025-04-26,11:28:44,A01,8,52812,23.5,5.0,0.19,7.0,97.2,271.2,2520.0,23.2,442.54
117,2025-04-27,08:49:43,A01,8,52800,22.8,5.2,0.18,7.0,95.6,273.7,4624.0,21.3,456.9
118,2025-04-28,16:05:41,A01,8,52790,24.0,5.0,0.19,7.0,98.4,276.2,2533.0,31.3,450.51
119,2025-04-29,11:15:06,A01,8,52781,23.5,5.0,0.17,7.0,98.8,278.7,4027.0,19.2,455.44
120,2025-04-30,09:08:37,A01,8,52769,23.3,5.0,0.19,7.0,99.3,281.2,4162.0,21.9,458.48
121,2025-05-01,11:28:19,A01,8,52759,26.7,5.3,0.17,7.0,95.9,283.7,3760.0,26.3,478.86
122,2025-05-02,09:33:54,A01,8,52751,26.9,5.0,0.18,7.0,95.5,286.2,2851.0,22.1,466.95
123,2025-05-03,10:35:48,A01,8,52744,26.8,5.0,0.18,7.0,98.8,288.7,3742.0,25.0,470.97
124,2025-05-04,14:02:57,A01,8,52734,25.9,5.0,0.15,7.0,95.6,291.2,2847.0,27.5,476.41
125,2025-05-05,11:58:29,A01,8,52726,26.4,5.5,0.15,7.0,96.5,293.7,3338.0,21.9,507.12
126,2025-05-06,12:47:16,A01,8,52715,27.2,5.6,0.15,7.0,97.0,296.2,4852.0,24.8,516.71
127,2025-05-07,17:40:09,A01,8,52704,26.8,5.7,0.15,7.0,99.8,298.7,4710.0,28.9,526.39
128,2025-05-08,12:04:30,A01,8,52694,27.0,5.6,0.17,7.0,98.8,301.2,4346.0,18.4,524.16
129,2025-05-09,08:32:57,A01,8,52683,25.7,6.0,0.16,7.0,99.7,303.7,4770.0,20.5,393.55
130,2025-05-10,12:59:09,A01,8,52676,26.0,5.5,0.15,7.0,97.9,306.2,3726.0,28.4,377.29
131,2025-05-11,16:52:09,A01,8,52667,26.0,5.2,0.15,7.0,97.9,308.7,2948.0,27.9,368.29
132,2025-05-12,15:23:46,A01,8,52658,27.4,5.5,0.17,7.0,99.7,311.2,4160.0,22.5,382.54
133,2025-05-13,12:17:43,A01,8,52650,26.2,5.6,0.15,7.0,99.3,313.7,4649.0,20.9,390.4
134,2025-05-14,13:54:21,A01,8,52640,27.3,6.1,0.15,7.0,97.0,316.2,3530.0,25.6,413.93
135,2025-05-15,16:42:29,A01,8,52632,26.5,6.3,0.17,7.0,97.4,318.7,3465.0,26.8,424.54
136,2025-05-16,11:05:19,A01,8,52623,26.0,6.7,0.16,7.0,96.8,321.2,3295.0,18.4,444.86
137,2025-05-17,10:32:25,A01,8,52612,27.3,6.9,0.16,7.0,99.7,323.7,4558.0,23.5,456.61
138,2025-05-18,11:51:16,A01,8,52601,27.1,6.6,0.15,7.0,98.5,326.2,3347.0,25.3,447.83
139,2025-05-19,12:46:33,A01,8,52590,25.5,6.9,0.16,7.0,98.4,328.7,4730.0,24.9,463.47
140,2025-05-20,08:17:30,A01,8,52578,26.1,6.8,0.15,7.0,96.9,331.2,3086.0,19.5,463.07
141,2025-05-21,09:22:35,A01,8,52568,25.5,6.6,0.17,7.0,98.7,333.7,4631.0,25.1,456.91
142,2025-05-22,14:52:38,A01,8,52557,27.4,6.5,0.18,7.0,98.7,336.2,4215.0,29.5,455.43
143,2025-05-23,08:55:30,A01,8,52547,25.9,6.6,0.16,7.0,99.1,338.7,4582.0,18.0,464.05
144,2025-05-24,08:42:57,A01,8,52536,26.5,7.0,0.15,7.0,98.4,341.2,4536.0,23.8,485.5
145,2025-05-25,15:03:52,A01,8,52524,27.0,7.3,0.15,7.0,97.5,343.7,3495.0,30.3,502.28
146,2025-05-26,16:37:29,A01,8,52514,26.9,7.4,0.17,7.0,98.6,346.2,3537.0,25.6,509.28
147,2025-05-27,14:49:17,A01,8,52502,26.1,6.9,0.2,7.0,96.1,348.7,4082.0,22.2,488.85
148,2025-05-28,15:33:48,A01,8,52494,26.6,6.6,0.17,7.0,95.4,351.2,4865.0,24.7,480.2
149,2025-05-29,11:35:59,A01,8,52484,26.1,6.9,0.18,7.0,95.1,353.7,4322.0,20.0,496.71
150,2025-05-30,09:59:33,A01,8,52472,25.9,6.8,0.16,7.0,97.9,356.2,4561.0,22.4,496.52
151,2025-05-31,14:45:20,A01,8,52464,27.5,7.1,0.18,7.0,95.5,358.7,4754.0,28.8,512.78
152,2025-06-01,08:12:57,A01,8,52455,29.6,7.2,0.17,7.0,99.4,360.3,3835.0,17.5,395.38
153,2025-06-02,08:23:36,A01,8,52443,28.5,7.4,0.16,7.0,99.5,362.0,3572.0,24.2,492.47
154,2025-06-03,14:37:02,A01,8,52431,30.1,7.7,0.15,7.0,96.0,363.7,4222.0,30.2,376.31
155,2025-06-04,17:52:49,A01,8,52420,29.8,7.6,0.17,7.0,96.0,365.3,4983.0,27.3,398.53
156,2025-06-05,08:37:42,A01,8,52409,30.0,7.9,0.18,7.0,99.8,367.0,3933.0,14.7,393.34
157,2025-06-06,09:31:39,A01,8,52399,29.3,8.0,0.2,7.0,96.4,368.7,4076.0,24.9,457.19
158,2025-06-07,15:17:16,A01,8,52391,29.2,8.0,0.19,7.0,95.6,370.3,4801.0,29.8,468.22
159,2025-06-08,08:00:23,A01,8,52379,29.4,8.0,0.21,7.1,96.9,372.0,2997.0,16.7,452.1
160,2025-06-09,09:36:24,A01,8,52370,28.3,7.7,0.23,7.1,95.1,373.7,4528.0,25.6,534.06
161,2025-06-10,14:44:04,A01,8,52361,28.5,7.5,0.22,7.1,99.5,375.3,4791.0,29.1,511.14
162,2025-06-11,17:27:57,A01,8,52349,29.9,7.7,0.2,7.0,98.2,377.0,3516.0,26.7,404.49
163,2025-06-12,15:04:22,A01,8,52339,29.8,7.5,0.22,7.1,99.8,378.7,2826.0,21.6,406.8
164,2025-06-13,14:19:41,A01,8,52331,29.5,7.8,0.22,7.1,95.7,380.3,2988.0,23.3,445.03
165,2025-06-14,17:08:09,A01,8,52323,29.1,8.0,0.21,7.1,97.9,382.0,3559.0,26.8,490.17
166,2025-06-15,14:18:14,A01,8,52315,29.6,7.7,0.21,7.1,97.5,383.7,4878.0,21.2,436.82
167,2025-06-16,12:22:50,A01,8,52304,29.0,7.7,0.2,7.0,95.9,385.3,4731.0,22.1,491.07
168,2025-06-17,16:55:44,A01,8,52294,28.8,7.4,0.22,7.1,97.8,387.0,2664.0,28.5,496.4
169,2025-06-18,17:43:34,A01,8,52283,28.3,7.6,0.21,7.1,96.6,388.7,3629.0,24.8,550.96
170,2025-06-19,10:00:44,A01,8,52273,28.6,7.5,0.22,7.1,95.6,390.3,3136.0,16.3,522.07
171,2025-06-20,17:29:35,A01,8,52262,29.1,7.0,0.23,7.1,99.9,392.0,3862.0,31.5,459.61
172,2025-06-21,13:29:08,A01,8,52250,29.0,6.7,0.21,7.1,95.6,393.7,3014.0,20.0,457.87
173,2025-06-22,08:08:00,A01,8,52240,29.7,6.9,0.24,7.1,97.4,395.3,3522.0,18.6,409.2
174,2025-06-23,10:57:21,A01,8,52230,28.7,6.5,0.23,7.1,95.9,397.0,3888.0,26.8,475.95
175,2025-06-24,17:10:01,A01,8,52219,29.0,7.0,0.22,7.1,99.4,398.7,4536.0,30.2,475.91
176,2025-06-25,15:47:59,A01,8,52211,28.6,7.3,0.23,7.1,95.0,400.3,3289.0,22.6,524.97
177,2025-06-26,15:17:05,A01,8,52199,28.2,7.5,0.26,7.1,97.5,402.0,2571.0,23.5,569.98
178,2025-06-27,08:01:07,A01,8,52189,28.5,7.5,0.28,7.1,97.3,403.7,4257.0,16.7,544.56
179,2025-06-28,13:33:16,A01,8,52177,29.0,7.6,0.29,7.1,95.4,405.3,3686.0,29.5,506.21
180,2025-06-29,09:25:00,A01,8,52166,29.8,7.4,0.3,7.2,98.7,407.0,3991.0,19.9,428.47
181,2025-06-30,11:51:59,A01,8,52158,30.1,7.4,0.3,7.2,96.3,408.7,2656.0,26.4,403.64
182,2025-07-01,10:51:03,A01,8,52149,30.5,7.1,0.3,7.2,98.7,410.3,4102.0,23.0,360.0
183,2025-07-02,09:47:28,A01,8,52141,31.4,7.2,0.3,7.2,96.5,412.0,4461.0,22.9,285.89
184,2025-07-03,17:26:31,A01,8,52132,32.0,7.4,0.3,7.2,95.0,413.7,4964.0,31.7,238.47
185,2025-07-04,12:15:57,A01,8,52122,31.6,7.1,0.3,7.2,96.9,415.3,3785.0,18.8,268.05
186,2025-07-05,09:11:16,A01,8,52114,31.5,7.0,0.3,7.2,98.1,417.0,3157.0,20.9,275.35
187,2025-07-06,17:44:28,A01,8,52104,30.6,7.4,0.3,7.2,95.0,418.7,2776.0,32.6,367.86
188,2025-07-07,09:18:39,A01,8,52096,32.1,6.9,0.3,7.2,96.0,420.3,2728.0,15.6,231.52
189,2025-07-08,12:11:35,A01,8,52084,32.1,7.2,0.28,7.1,97.7,422.0,2601.0,26.9,239.28
190,2025-07-09,16:59:39,A01,8,52076,31.3,7.0,0.3,7.2,97.4,423.7,4456.0,28.8,297.21
191,2025-07-10,11:52:12,A01,8,52066,32.4,7.4,0.3,7.2,97.1,425.3,2674.0,18.9,244.88
192,2025-07-11,12:57:05,A01,8,52056,30.8,6.9,0.29,7.1,99.8,427.0,4099.0,25.1,341.12
193,2025-07-12,09:06:40,A01,8,52046,31.9,7.1,0.3,7.2,99.7,428.7,4662.0,20.2,249.22
194,2025-07-13,09:01:44,A01,8,52036,31.8,7.4,0.3,7.2,95.6,430.3,4348.0,23.9,266.19
195,2025-07-14,13:18:18,A01,8,52027,31.8,6.9,0.3,7.2,96.4,432.0,2708.0,28.3,255.46
196,2025-07-15,12:54:23,A01,8,52016,32.3,6.9,0.3,7.2,99.2,433.7,4075.0,23.6,238.5
197,2025-07-16,14:35:28,A01,8,52006,32.2,6.7,0.3,7.2,98.0,435.3,4084.0,25.7,234.98
198,2025-07-17,17:11:29,A01,8,51996,32.1,7.1,0.27,7.1,97.0,437.0,3945.0,26.6,245.41
199,2025-07-18,09:42:29,A01,8,51988,31.4,7.2,0.28,7.1,98.4,438.7,4102.0,16.5,304.13
200,2025-07-19,11:10:49,A01,8,51976,30.9,7.3,0.29,7.1,95.5,440.3,2650.0,25.5,354.71
201,2025-07-20,14:17:06,A01,8,51964,31.8,7.7,0.3,7.2,98.9,442.0,2728.0,27.1,280.21
202,2025-07-21,17:08:55,A01,8,51956,31.6,7.8,0.3,7.2,97.5,443.7,3097.0,26.9,303.42
203,2025-07-22,12:08:15,A01,8,51944,31.4,8.0,0.3,7.2,99.2,445.3,2994.0,19.0,329.84
204,2025-07-23,09:58:59,A01,8,51936,30.6,8.0,0.29,7.1,99.8,447.0,3349.0,21.8,412.52
205,2025-07-24,12:23:48,A01,8,51927,30.8,7.5,0.27,7.1,97.4,448.7,3952.0,26.4,378.0
206,2025-07-25,13:08:36,A01,8,51915,31.9,7.5,0.28,7.1,97.0,450.3,4380.0,24.7,271.13
207,2025-07-26,14:00:37,A01,8,51904,31.5,7.4,0.26,7.1,96.3,452.0,3536.0,24.9,309.34
208,2025-07-27,10:54:52,A01,8,51895,32.0,6.9,0.24,7.1,96.6,453.7,3442.0,20.9,250.46
209,2025-07-28,17:31:58,A01,8,51886,31.1,7.1,0.23,7.1,96.6,455.3,4716.0,30.6,342.68
210,2025-07-29,08:00:52,A01,8,51876,30.8,7.4,0.22,7.1,97.1,457.0,3479.0,14.5,383.26
211,2025-07-30,09:28:26,A01,8,51866,31.7,7.0,0.24,7.1,97.4,458.7,2677.0,25.5,284.13
212,2025-07-31,11:49:10,A01,8,51854,30.5,7.3,0.23,7.1,95.2,460.3,4693.0,26.3,411.76
213,2025-08-01,12:14:13,A01,8,51846,31.5,7.2,0.21,7.1,96.4,462.0,4380.0,24.4,311.88
214,2025-08-02,14:12:43,A01,8,51835,30.4,7.6,0.2,7.0,97.5,463.7,2898.0,26.0,437.15
215,2025-08-03,11:22:43,A01,8,51827,30.5,7.3,0.22,7.1,99.6,465.3,4360.0,21.2,416.44
216,2025-08-04,12:04:08,A01,8,51817,31.2,7.2,0.21,7.1,96.5,467.0,4021.0,24.7,344.93
217,2025-08-05,11:38:28,A01,8,51805,30.4,6.9,0.21,7.1,97.0,468.7,2801.0,23.6,414.54
218,2025-08-06,14:22:42,A01,8,51795,31.5,6.9,0.19,7.0,99.0,470.3,3253.0,26.7,309.33
219,2025-08-07,17:48:44,A01,8,51784,31.8,7.3,0.2,7.0,99.3,472.0,4192.0,27.4,290.97
220,2025-08-08,10:32:53,A01,8,51776,31.5,7.4,0.18,7.0,99.3,473.7,2727.0,16.7,326.03
221,2025-08-09,09:33:41,A01,8,51765,30.2,7.0,0.18,7.0,97.6,475.3,3172.0,23.0,445.2
222,2025-08-10,10:30:58,A01,8,51754,31.4,7.3,0.18,7.0,99.1,477.0,2562.0,25.0,335.57
223,2025-08-11,10:41:52,A01,8,51746,31.0,7.5,0.17,7.0,99.8,478.7,3124.0,24.2,385.0
224,2025-08-12,17:59:37,A01,8,51737,31.1,7.8,0.18,7.0,99.2,480.3,4759.0,31.3,385.15
225,2025-08-13,08:53:37,A01,8,51728,30.9,7.3,0.18,7.0,97.4,482.0,3589.0,14.9,390.8
226,2025-08-14,16:35:03,A01,8,51719,30.5,7.7,0.2,7.0,97.4,483.7,4686.0,31.7,448.15
227,2025-08-15,13:14:48,A01,8,51710,30.0,8.0,0.2,7.0,98.0,485.3,4524.0,20.7,516.49
228,2025-08-16,12:55:04,A01,8,51700,30.6,8.0,0.22,7.1,99.7,487.0,3820.0,23.7,450.62
229,2025-08-17,14:27:41,A01,8,51689,30.7,7.7,0.21,7.1,99.8,488.7,4894.0,25.5,430.36
230,2025-08-18,08:57:04,A01,8,51681,31.4,8.0,0.19,7.0,95.8,490.3,2974.0,18.5,365.43
231,2025-08-19,12:04:47,A01,8,51669,30.7,8.0,0.2,7.0,98.7,492.0,4210.0,27.1,444.69
